               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.045887,            0.021648,           0.0051129,             0.74882,             0.65306,             0.72092,             0.47437,            0.061545,            0.013971,            0.014311,            0.006204,            0.006204,            0.006204
                  92,            0.045973,             0.02053,           0.0045315,             0.78544,             0.67519,             0.74038,             0.47364,            0.064155,            0.013717,            0.013788,           0.0061341,           0.0061341,           0.0061341
                  93,            0.045647,            0.021643,           0.0046765,             0.71489,             0.68956,             0.73064,              0.4865,            0.059605,            0.015009,            0.012982,            0.006064,            0.006064,            0.006064
                  94,            0.044945,            0.020887,           0.0048806,             0.72372,             0.65291,             0.70961,             0.47155,            0.063603,            0.014862,              0.0146,           0.0059938,           0.0059938,           0.0059938
                  95,            0.045755,            0.021278,           0.0045001,              0.7325,             0.66656,             0.71287,             0.46563,            0.063639,            0.015265,            0.013382,           0.0059235,           0.0059235,           0.0059235
                  96,            0.045065,            0.020763,           0.0046189,             0.78863,             0.64466,             0.73582,             0.48085,            0.063031,            0.014271,            0.013992,           0.0058531,           0.0058531,           0.0058531
                  97,            0.044679,            0.020638,           0.0046866,             0.75704,             0.68856,             0.74458,             0.48487,             0.05848,            0.014503,            0.013932,           0.0057826,           0.0057826,           0.0057826
                  98,            0.044397,            0.021293,           0.0042046,              0.7681,             0.67425,             0.72296,               0.469,            0.062896,            0.014364,            0.013832,            0.005712,            0.005712,            0.005712
                  99,            0.043854,            0.021035,           0.0045088,             0.81972,             0.65407,             0.73981,             0.49273,            0.059365,            0.014482,            0.012596,           0.0056413,           0.0056413,           0.0056413
                 100,            0.043848,            0.021396,           0.0041767,             0.78181,             0.64464,             0.71464,             0.47432,            0.061858,            0.014711,            0.014804,           0.0055707,           0.0055707,           0.0055707
                 101,            0.043341,            0.020144,           0.0041003,             0.78075,             0.67912,             0.73059,             0.46647,            0.060973,            0.015109,            0.013703,              0.0055,              0.0055,              0.0055
                 102,             0.04388,            0.020373,           0.0043325,             0.76369,             0.66972,             0.73445,             0.47774,            0.061385,            0.014914,            0.012222,           0.0054293,           0.0054293,           0.0054293
                 103,            0.043225,            0.020121,           0.0040908,              0.8043,             0.59547,             0.69185,             0.45106,            0.058151,            0.014354,            0.016102,           0.0053587,           0.0053587,           0.0053587
                 104,            0.042793,            0.021289,           0.0035335,             0.78981,              0.6384,             0.72077,             0.47027,            0.059758,            0.014507,            0.013934,            0.005288,            0.005288,            0.005288
                 105,            0.042672,            0.020198,           0.0043337,             0.75131,             0.65459,             0.70381,             0.45703,            0.061628,            0.013829,            0.016505,           0.0052174,           0.0052174,           0.0052174
                 106,            0.042417,            0.020314,           0.0034989,              0.7513,             0.66565,             0.71309,             0.45882,            0.065787,            0.014281,            0.015902,           0.0051469,           0.0051469,           0.0051469
                 107,            0.041899,            0.019017,           0.0035795,             0.78724,              0.6027,             0.70661,             0.46377,            0.062789,            0.014854,            0.019387,           0.0050765,           0.0050765,           0.0050765
